,0
0,1210_1210_ZI003_調機米數(Modify length)
1,1210_1210_ZI004_勿用米數(NG length)
2,1210_1210_ZI010_SC設定值-開始(SC-start)
3,1210_1210_ZI011_SC設定值-中間(SC-middle)
4,1210_1210_ZI012_Pump轉速-開始(Pump-start)
5,1210_1210_ZI013_Pump轉速-中間(Pump-middle)
6,1210_1210_ZI014_濾心壓力-開始(Filter Kpa-start)
7,1210_1210_ZI015_濾心壓力-中間(Filter Kpa-middle)
8,1210_1210_ZI016_機台壓力-開始(Machine pressure-start)
9,1210_1210_ZI017_機台壓力-中間(Machine pressure-Middle)
10,1210_1210_ZI018_漿料黏度(Viscosity)
11,1210_1210_ZI019_重量-開機左(Weight-start-L)
12,1210_1210_ZI020_重量-開機右(Weight-start-R)
13,1210_1210_ZI021_重量-中間左(Weight-middle-L)
14,1210_1210_ZI022_重量-中間右(Weight-middle-R)
15,1210_1210_ZI023_R值-開機(R value-start)
16,1210_1210_ZI024_R值-中間(R value-middle)
17,1210_1210_ZI026_濃度-1
18,1210_1210_ZI027_濃度-2
19,1210_1210_ZI028_濃度-3
20,1210_1210_ZI029_濃度-4
21,1210_1210_ZI030_濃度-5
22,1210_1210_PARAM001
23,1210_1220_ZI001_清機後第幾捲(Reel order after machine clean)
24,1210_1220_ZI005_前段張力L(Left tension at front) 
25,1210_1220_ZI006_前段張力R(Right tension at front)
26,1210_1220_ZI007_後段張力L(Left tension at back)
27,1210_1220_ZI008_後段張力R(Right tension at back)
28,1210_1220_ZI010_首件次數(Times of modify)
29,1210_1220_ZI011_XRF次數(Times of XRF modify)
30,1210_1220_ZI012_49點次數(Times of 49 point modify)
31,1210_1220_ZI013_塗工刮痕(Coating scratch miles)
32,1210_1220_ZI014_塗工透光(Transparent line of coating foil)
33,1210_1220_ZI015_塗工其他不良(Other defect of coating foil)
34,1210_1220_ZI016_首件網間(Screen gap-30m)
35,1210_1220_ZI017_首件刮刀壓力(pressure of squeegee-30m)
36,1210_1220_ZI018_首件刮刀硬度(Hardness of squeegee-30m)
37,1210_1220_ZI022_首件墨1+2(30m laydown 1+2)
38,1210_1220_ZI023_首件墨3+4(30m laydown 3+4)
39,1210_1220_ZI024_1000m墨1+2(1000m laydown 1+2)
40,1210_1220_ZI025_1000m墨3+4(1000m laydown 3+4)
41,1210_1220_ZI026_尺寸長1(pattern length1)
42,1210_1220_ZI027_尺寸長2(pattern length2)
43,1210_1220_ZI028_尺寸長3(pattern length2)
44,1210_1220_ZI029_尺寸長4(pattern length3)
45,1210_1220_ZI030_尺寸寬1(pattern wide1)
46,1210_1220_ZI031_尺寸寬2(pattern wide2)
47,1210_1220_ZI032_尺寸寬3(pattern wide3)
48,1210_1220_ZI033_尺寸寬4(pattern wide4)
49,1210_1220_ZI034_cycle time
50,1210_1220_ZI041_XRF平均(XRF average)
51,1210_1220_ZI042_XRF全距(XRF range)
52,1210_1220_ZI043_機故(Machine)
53,1210_1220_ZI044_塗工(Coating)
54,1210_1220_ZI045_刷白(Get white)
55,1210_1220_ZI047_白點(white point)
56,1210_1220_ZI048_黏網(Sticky)
57,1210_1220_ZI062_1000M L/D
58,1210_1220_ZI063_2000M L/D
59,1210_1320_ZI011_最大重量(Max weight)
60,1210_1320_ZI012_最小重量(Min weight)
61,1210_1320_ZI013_底偏(B.S)
62,1210_1320_ZI014_傾斜(I.L)
63,1210_1320_ZI015_交錯
64,1210_1320_ZI016_Y軸交錯(Y-F.B)
65,1210_1320_ZI017_X軸交錯(X-F.B)
66,1210_1320_ZI018_Y軸貫穿(Y-L.S)
67,1210_1320_ZI019_X軸貫穿(X-L.S)
68,1210_1320_ZI020_斷層(B.B)
69,1210_1320_ZI021_厚度、重量異常
70,1210_1320_ZI022_渲染
71,1210_1320_ZI023_不密合
72,1210_1320_ZI024_收料掉落
73,1210_1320_ZI025_其他
74,1210_1320_BT004_ 內層疊層層數(number of layer)
75,1210_1330_ZI015_產品最大厚度(Thickness max)
76,1210_1330_ZI016_產品最小厚度(Thickness min)
77,1210_1340_ZI001_投入片數(Input Bar)
78,1210_1340_ZI002_不良片數(NG Bar)
79,1210_1340_ZI003_不良率(Yield Loss)
80,1210_1410_ZI005_有效晶粒數
81,1210_1410_ZI006_setter或mesh 片數
82,1210_1410_ZI007_燒失率 %
83,1210_1420_ZI016_轉速(Hz)
84,1210_1420_ZI017_時間
85,1210_1420_ZI018_R值#1
86,1210_1420_ZI019_R值#2
87,1210_1420_ZI020_R值#3
88,1210_1420_ZI021_R值#4
89,1210_1420_ZI022_R值#5
90,1210_1620_ZI017_燒附氧氣PPM(Spec<10)
91,1210_1620_PARAM001
92,1210_1620_PARAM002
93,1210_1620_PARAM003
94,1210_1620_PARAM004
95,1210_1620_PARAM005
96,1210_1620_PARAM006
97,1210_1620_PARAM007
98,1210_1620_PARAM008
99,1210_1620_PARAM009
100,1210_1620_PARAM0010
101,1210_1620_PARAM0011
102,1210_1620_PARAM0012
103,1210_1620_PARAM0013
104,1210_1710_ZI008_鎳電流(A)
105,1210_1710_ZI012_錫電流(A)
106,1210_1710_ZI022_Sn 厚 (1)
107,1210_1710_ZI023_Sn 厚 (2)
108,1210_1710_ZI024_Sn 厚 (3)
109,1210_1710_ZI025_Sn 厚 (4)
110,1210_1710_ZI026_Sn 厚 (5)
111,1210_1710_ZI027_Sn平均
112,1210_1710_ZI038_Sn 厚 (6)
113,1210_1710_ZI039_Sn 厚 (7)
114,1210_1710_ZI040_Sn 厚 (8)
115,1210_1710_ZI041_Sn 厚 (9)
116,1210_1710_ZI042_Sn 厚 (10)
117,1210_1720_ZI004_B/X:M1 F:Z-
118,1210_1720_ZI005_B/X:M2 F:Z+
119,1210_1720_ZI006_B/X:K or K1 F:M1
120,1210_1720_ZI007_B/X:K2 or J  F:M2
121,1210_1720_ZI008_B/X:K3 F:Z
122,1210_1720_ZI009_Flash NG 數(Flash NG pcs)
123,1210_1720_ZI010_IR NG 數(IR NG pcs)
124,1210_1720_ZI011_DF NG 數(DF NG pcs)
125,1210_1720_ZI012_C-out NG 數(C-out NG pcs)
126,1210_1720_ZI013_NPP 掉料(NPP)
127,1210_1720_ZI014_C-out loss (C-out loss )
128,1210_1720_ZI015_DF loss(DF loss)
129,1210_1720_ZI016_Flash loss(Flash loss)
130,1210_1720_ZI017_IR loss(IR loss)
131,1210_1720_ZI018_B率 loss(B% loss)
132,1210_1720_ZI022_IR1電壓(IR1 voltage)
133,1210_1720_ZI024_IR1時間(IR1 soak time(ms))
134,1210_1720_ZI025_IR2電壓(IR2 voltage)
135,1210_1720_ZI027_IR2時間(IR2 soak time(ms))
136,1210_1810_ZI004_NPO-narrow tolerance & Cap. range (<=10pF) 
137,1210_1810_ZI062_HALT確認異常(<1hr)
138,1210_1810_ZI063_HALT確認異常(10min~1hr)
139,1210_1810_ZI064_HALT確認異常(<10min)
140,1210_1810_ZI067_HALT確認異常(24hr&48hr)
141,slurry_D10_TARGET_VALUE
142,slurry_D10_ORG_TARGET_VALUE
143,slurry_D50_TARGET_VALUE
144,slurry_D50_ORG_TARGET_VALUE
145,slurry_D90_TARGET_VALUE
146,slurry_D90_ORG_TARGET_VALUE
147,slurry_D99_TARGET_VALUE
148,slurry_D99_ORG_TARGET_VALUE
149,slip_D10_TARGET_VALUE
150,slip_D10_ORG_TARGET_VALUE
151,slip_D50_TARGET_VALUE
152,slip_D50_ORG_TARGET_VALUE
153,slip_D90_TARGET_VALUE
154,slip_D90_ORG_TARGET_VALUE
155,slip_D99_TARGET_VALUE
156,slip_D99_ORG_TARGET_VALUE
157,1PASS_D50
158,2PASS_D50
159,3PASS_D50
160,4PASS_D50
161,5PASS_D50
162,6PASS_D50
163,7PASS_D50
164,Dopant start milling time微量分散開始時間
165,1Pass Milling Blade Time
166,2Pass Milling Blade Time
167,3Pass Milling Blade Time
168,4Pass Milling Blade Time
169,5Pass Milling Blade Time
170,6Pass Milling Blade Time
171,7Pass Milling Blade Time
172,Thermal_Ring
